,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members
21,21,44,rurouni kenshin meiji kenkaku romantan tsuioku hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,8.83,129307.0
22,22,1,cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824.0
23,23,30276,one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,8.82,552458.0
24,24,164,mononoke hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556.0
25,25,7311,suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297.0
26,26,17074,monogatari series second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959.0
27,27,21939,mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.8,101351.0
28,28,457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030.0
29,29,2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962.0
30,30,245,great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487.0
31,31,32983,natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.76,38865.0
32,32,5258,hajime no ippo new challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995.0
33,33,28957,mushishi zoku shou suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,8.75,32266.0
34,34,11665,natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.75,98431.0
35,35,431,howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,8.74,333186.0
36,36,11741,fate zero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,8.73,340973.0
37,37,31757,kizumonogatari ii nekketsu hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,8.73,34347.0
38,38,19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,8.72,247562.0
39,39,12365,bakuman 3rd season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620.0
40,40,1535,death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917.0
41,41,32366,gintama aizome kaori hen,"Comedy, Parody",OVA,2.0,8.69,16947.0
42,42,30654,ansatsu kyoushitsu tv 2nd season,"Action, Comedy, School, Shounen",TV,25.0,8.68,176475.0
43,43,20583,haikyuu ,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498.0
44,44,19647,hajime no ippo rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756.0
45,45,4282,kara no kyoukai 5 mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.68,111074.0
46,46,10379,natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.67,102322.0
47,47,22135,ping pong the animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187.0
48,48,21329,mushishi special hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.66,49036.0
49,49,31043,boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,8.65,402381.0
50,50,7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11.0,8.65,122531.0
51,51,3297,aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,8.64,56162.0
52,52,30709,kamisama hajimemashita kako hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422.0
53,53,6114,rainbow nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,8.64,139474.0
54,54,31240,re zero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,8.64,355839.0
55,55,4565,tengen toppa gurren lagann movie lagann hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,8.64,82253.0
56,56,5300,zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.64,114173.0
57,57,9989,ano hi mita hana no namae wo bokutachi wa mada shiranai ,"Drama, Slice of Life, Supernatural",TV,11.0,8.62,463835.0
58,58,24415,kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525.0
59,59,11577,steins gate movie fuka ryouiki no d j vu,"Sci-Fi, Thriller",Movie,1.0,8.61,192424.0
60,60,10408,hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,8.61,197439.0
61,61,28171,shokugeki no souma,"Ecchi, School, Shounen",TV,24.0,8.61,348951.0
62,62,32995,yuri on ice,"Comedy, Sports",TV,12.0,8.61,103178.0
63,63,21899,gintama yorinuki gintama san on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,8.6,11104.0
64,64,26055,jojo no kimyou na bouken stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,8.6,93657.0
65,65,7472,gintama movie shinyaku benizakura hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,8.59,51185.0
66,66,777,hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,8.59,297454.0
67,67,22535,kiseijuu sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,8.59,425457.0
68,68,28735,shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,13.0,8.59,71295.0
69,69,12431,uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958.0
70,70,28805,bakemono no ko,"Adventure, Supernatural",Movie,1.0,8.58,80825.0
71,71,578,hotaru no haka,"Drama, Historical",Movie,1.0,8.58,174878.0
72,72,16894,kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325.0
73,73,5028,major s5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653.0
74,74,21,one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,784.0,8.58,504862.0
75,75,801,ghost in the shell stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,8.57,113993.0
76,76,31933,jojo no kimyou na bouken diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,8.57,74074.0
77,77,5205,kara no kyoukai 7 satsujin kousatsu kou ,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.57,95658.0
78,78,17389,kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39.0,8.57,31234.0
79,79,170,slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570.0
80,80,10162,usagi drop,"Josei, Slice of Life",TV,11.0,8.56,194855.0
81,81,18617,girls und panzer der film,"Military, School",Movie,1.0,8.55,25641.0
82,82,32182,mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,8.55,193716.0
83,83,877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256.0
84,84,2251,baccano ,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,8.54,363215.0
85,85,24687,mushishi zoku shou odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.54,34011.0
86,86,16498,shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,8.54,896229.0
87,87,10030,bakuman 2nd season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561.0
88,88,5941,cross game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108.0
89,89,30346,doukyuusei movie ,"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,8.53,28864.0
90,90,3784,evangelion 2 0 you can not advance,"Action, Mecha, Sci-Fi",Movie,1.0,8.53,182224.0
91,91,13125,shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376.0
92,92,12029,uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,8.53,44223.0
93,93,14397,chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.52,86074.0
94,94,10087,fate zero,"Action, Fantasy, Supernatural",TV,13.0,8.51,453630.0
95,95,14719,jojo no kimyou na bouken tv ,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,8.51,190197.0
96,96,9756,mahou shoujo madoka magica,"Drama, Magic, Psychological, Thriller",TV,12.0,8.51,462974.0
97,97,10165,nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436.0
98,98,13601,psycho pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,8.5,509109.0
99,99,22789,barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927.0
100,100,30230,diamond no ace second season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531.0
101,101,18115,magi the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,8.5,245026.0
102,102,11981,mahou shoujo madoka magica movie 3 hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.5,135735.0
103,103,11917,major world series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405.0
104,104,205,samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,8.5,390076.0
105,105,32282,shokugeki no souma ni no sara,"Ecchi, School, Shounen",TV,13.0,8.5,185015.0
106,106,6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,8.49,207241.0
107,107,11979,mahou shoujo madoka magica movie 2 eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.49,85361.0
108,108,7655,major s6,"Comedy, Drama, Sports",TV,25.0,8.49,24788.0
109,109,2246,mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,8.49,88850.0
110,110,25835,shirobako,"Comedy, Drama",TV,24.0,8.49,146895.0
111,111,2921,ashita no joe 2,"Drama, Sports",TV,47.0,8.48,6259.0
112,112,136,hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,8.48,166255.0
113,113,30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,8.48,299434.0
114,114,12531,sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,12.0,8.48,146592.0
115,115,523,tonari no totoro,"Adventure, Comedy, Supernatural",Movie,1.0,8.48,271484.0
116,116,467,ghost in the shell stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,8.47,194491.0
117,117,572,kaze no tani no nausica ,"Adventure, Fantasy",Movie,1.0,8.47,143273.0
118,118,19815,no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,8.47,602291.0
119,119,2559,romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,8.47,15074.0
120,120,392,yuu yuu hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,8.47,195017.0
121,121,486,kino no tabi the beautiful world,"Action, Adventure, Slice of Life",TV,13.0,8.46,102822.0
122,122,11771,kuroko no basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315.0
123,123,1698,nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025.0
124,124,5341,ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,12.0,8.46,210491.0
125,125,25781,shingeki no kyojin kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,8.45,92543.0
126,126,10863,steins gate oukoubakko no poriomania,"Sci-Fi, Thriller",Special,1.0,8.46,159548.0
127,127,28701,fate stay night unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,8.45,205987.0
128,128,5420,kemono no souja erin,"Drama, Fantasy",TV,50.0,8.45,36751.0
129,129,9260,kizumonogatari i tekketsu hen,"Mystery, Supernatural, Vampire",Movie,1.0,8.45,99579.0
130,130,32,neon genesis evangelion the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,8.45,215630.0
131,131,4224,toradora ,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817.0
132,132,2236,toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,8.44,289206.0
133,133,2685,tsubasa tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,8.44,57963.0
134,134,31181,owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855.0
135,135,45,rurouni kenshin meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,8.43,218928.0
136,136,2418,stranger mukou hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,8.43,125503.0
137,137,1365,detective conan movie 06 the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,1.0,8.42,28462.0
138,138,22297,fate stay night unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,8.42,267484.0
139,139,627,major s1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061.0
140,140,10937,mobile suit gundam the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,8.42,15420.0
141,141,23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24.0,8.42,331627.0
142,142,4081,natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.42,210736.0
143,143,4155,one piece film strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.42,85020.0
144,144,1889,higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,24.0,8.41,218101.0
145,145,137,hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.41,53168.0
146,146,139,hunter x hunter greed island final,"Action, Adventure, Shounen, Super Power",OVA,14.0,8.41,55787.0
147,147,23317,kuroshitsuji book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2.0,8.41,67261.0
148,148,558,major s2,"Comedy, Drama, Shounen, Sports",TV,26.0,8.41,30689.0
149,149,5040,one outs,"Psychological, Seinen, Sports",TV,25.0,8.41,83056.0
150,150,57,beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,8.4,148328.0
151,151,33,berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,8.4,226430.0
152,152,5,cowboy bebop tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,8.4,137636.0
153,153,1842,major s3,"Drama, Shounen, Sports",TV,26.0,8.4,29528.0
154,154,6336,mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.0,8.4,42076.0
155,155,20651,natsume yuujinchou itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1.0,8.4,28302.0
156,156,1210,nhk ni youkoso ,"Comedy, Drama, Psychological, Romance",TV,24.0,8.4,291228.0
157,157,338,rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40.0,8.4,32188.0
158,158,13759,sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24.0,8.4,380375.0
159,159,6547,angel beats ,"Action, Comedy, Drama, School, Supernatural",TV,13.0,8.39,717796.0
160,160,5081,bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15.0,8.39,482268.0
161,161,32867,bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",TV,12.0,8.39,83641.0
162,162,264,hajime no ippo champion road,"Comedy, Shounen, Sports",Special,1.0,8.39,47840.0
163,163,12859,one piece film z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.39,76051.0
164,164,853,ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,8.39,422271.0
165,165,5460,detective conan movie 13 the raven chaser,"Action, Mystery, Police, Shounen",Movie,1.0,8.38,21798.0
166,166,6746,durarara ,"Action, Mystery, Supernatural",TV,24.0,8.38,556431.0
167,167,5690,nodame cantabile finale,"Comedy, Josei, Music, Romance",TV,11.0,8.38,67697.0
168,168,329,planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26.0,8.38,105044.0
169,169,34240,shelter,"Music, Sci-Fi",Music,1.0,8.38,71136.0
170,170,513,tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1.0,8.38,151061.0
171,171,6945,gintama shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1.0,8.37,27213.0
172,172,1142,hachimitsu to clover ii,"Drama, Josei, Romance",TV,12.0,8.37,61493.0
173,173,6811,inuyasha kanketsu hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26.0,8.37,99128.0
174,174,16664,kaguya hime no monogatari,"Fantasy, Historical",Movie,1.0,8.37,45547.0
175,175,1604,katekyo hitman reborn ,"Action, Comedy, Shounen, Super Power",TV,203.0,8.37,258103.0
176,176,22145,kuroshitsuji book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10.0,8.37,122895.0
177,177,2966,ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13.0,8.37,334932.0
178,178,31964,boku no hero academia,"Action, Comedy, School, Shounen, Super Power",TV,13.0,8.36,282002.0
179,179,19363,gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",TV,11.0,8.36,67032.0
180,180,18195,little busters refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13.0,8.36,71820.0
181,181,9890,major message,"Comedy, Drama, Sports",OVA,1.0,8.36,12282.0
182,182,9130,saint seiya the lost canvas meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13.0,8.36,27532.0
183,183,9863,sket dance,"Comedy, School, Shounen",TV,77.0,8.36,101027.0
184,184,7674,bakuman ,"Comedy, Romance, Shounen",TV,25.0,8.35,246899.0
185,185,11843,danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",TV,12.0,8.35,258914.0
186,186,16782,kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1.0,8.35,189741.0
187,187,28675,kyoukai no kanata movie i 039 ll be here mirai hen,"Fantasy, Slice of Life, Supernatural",Movie,1.0,8.35,59815.0
188,188,3226,major s4,"Comedy, Drama, Shounen, Sports",TV,26.0,8.35,28002.0
189,189,21557,omoide no marnie,"Drama, Mystery, Psychological",Movie,1.0,8.35,53590.0
190,190,31715,working lord of the takanashi,"Comedy, Romance, Slice of Life",Special,1.0,8.34,31856.0
191,191,43,ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,8.34,223036.0
192,192,9617,k on movie,"Comedy, Music, Slice of Life",Movie,1.0,8.34,115252.0
193,193,31051,kuroko no basket saikou no present desu,"Action, School, Shounen, Sports",Special,1.0,8.34,22900.0
194,194,10153,mahou shoujo lyrical nanoha the movie 2nd a 039 s,"Action, Comedy, Drama, Magic, Super Power",Movie,1.0,8.34,13315.0
195,195,1033,sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1.0,8.34,58492.0
196,196,32188,steins gate kyoukaimenjou no missing link divide by zero,"Sci-Fi, Thriller",Special,1.0,8.34,38147.0
197,197,3091,xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13.0,8.34,74941.0
198,198,12115,berserk ougon jidai hen iii kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,8.33,65594.0
199,199,28223,death parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12.0,8.33,383914.0
200,200,121,fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,8.33,600384.0
201,201,3002,gyakkyou burai kaiji ultimate survivor,"Game, Psychological, Seinen, Thriller",TV,26.0,8.33,98996.0
202,202,138,hunter x hunter greed island,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.33,57029.0
203,203,6675,redline,"Action, Cars, Sci-Fi, Sports",Movie,1.0,8.33,109392.0
204,204,10800,chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.32,158561.0
205,205,32005,detective conan movie 20 the darkest nightmare,"Action, Mystery, Police, Shounen",Movie,1.0,8.32,6229.0
206,206,813,dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291.0,8.32,375662.0
207,207,27821,fate stay night unlimited blade works prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1.0,8.32,106382.0
208,208,28725,kokoro ga sakebitagatterunda ,"Drama, Romance, School",Movie,1.0,8.32,59652.0
209,209,585,mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1.0,8.32,94435.0
210,210,16067,nagi no asukara,"Drama, Fantasy, Romance",TV,26.0,8.32,224947.0
211,211,30,neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26.0,8.32,461946.0
212,212,31490,one piece film gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.32,18642.0
213,213,759,tokyo godfathers,"Comedy, Drama",Movie,1.0,8.32,89424.0
214,214,6,trigun,"Action, Comedy, Sci-Fi",TV,26.0,8.32,283069.0
215,215,6864,xxxholic rou,"Mystery, Supernatural",OVA,2.0,8.32,36353.0
216,216,9735,gintama shinyaku benizakura hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1.0,8.31,14002.0
217,217,11977,mahou shoujo madoka magica movie 1 hajimari no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.31,88164.0
218,218,11123,sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,8.31,69253.0
219,219,23847,yahari ore no seishun love comedy wa machigatteiru zoku,"Comedy, Drama, Romance, School",TV,13.0,8.31,222994.0
220,220,33161,yahari ore no seishun love comedy wa machigatteiru zoku ova,"Comedy, Romance, School",OVA,1.0,8.31,35120.0
221,221,962,aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26.0,8.3,39596.0
222,222,1519,black lagoon the second barrage,"Action, Seinen",TV,12.0,8.3,203233.0
223,223,2167,clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23.0,8.3,566690.0
224,224,16706,kami nomi zo shiru sekai megami hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12.0,8.3,142612.0
225,225,5681,summer wars,"Comedy, Sci-Fi",Movie,1.0,8.3,223359.0
226,226,3901,baccano specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3.0,8.29,100412.0
227,227,6467,detective conan movie 14 the lost ship in the sky,"Action, Mystery, Police, Shounen",Movie,1.0,8.29,20602.0
228,228,10271,gyakkyou burai kaiji hakairoku hen,"Game, Psychological, Seinen, Thriller",TV,26.0,8.29,55566.0
229,229,22507,initial d final stage,"Cars, Seinen, Sports",TV,4.0,8.29,19702.0
230,230,3701,kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12.0,8.29,56927.0
231,231,19123,one piece episode of merry mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,8.29,17247.0
232,232,33255,saiki kusuo no nan tv ,"Comedy, School, Shounen, Supernatural",TV,120.0,8.29,47092.0
233,233,372,cardcaptor sakura movie 2 fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1.0,8.28,60637.0
234,234,265,hajime no ippo mashiba vs kimura,"Comedy, Shounen, Sports",OVA,1.0,8.28,40623.0
235,235,25681,kamisama hajimemashita ,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12.0,8.28,91796.0
236,236,4722,skip beat ,"Comedy, Drama, Romance, Shoujo",TV,25.0,8.28,134818.0
237,237,24277,yowamushi pedal grande road,"Comedy, Drama, Shounen, Sports",TV,24.0,8.28,50778.0
238,238,239,gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24.0,8.27,103828.0
239,239,512,majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1.0,8.27,152331.0
240,240,4477,nodame cantabile paris hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11.0,8.27,70822.0
241,241,15323,one piece episode of nami koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,8.27,24707.0
242,242,31174,osomatsu san,"Comedy, Parody",TV,25.0,8.27,60988.0
